,id,title,diseno,ncValue,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16
12042,107107.0,MCAG110 - Bo. Borinquen Sector Lajitas PR-765 Interior Laurel St. Site #2,Diseño,10,"Barrio Borinquen, Sector Lajitas PR-765 Int.Laurel St., Caguas, Puerto Rico, 00727",18.16467,-66.03223,"Road-Asphalt Repair- PR-765 Interíor Site #5,Bo. Borinquen, Sector Lajitas(Caguas)",PA-02-PR-4339-PW-08043,1059742,953768,238442,105974,Caguas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,10/02/2021,Proyecto 406
12044,107107.0,Bairoa Park - Recreational Facilities - Covered and Uncovered Basketball Courts,Diseño,10,"Urb. Bairoa Park, Parque del Condado Street, Caguas, Puerto Rico, 00727",18.26223,-66.04463,MCAG079 - Bairoa Park Recreational Facilities,PA-02-PR-4339-PW-08303,800648,720583,0,80065,Caguas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,27/04/2021,Proyecto 406
12046,107107.0,Bairoa Park - Recreational Areas - Uncovered Volleyball Court #1,Diseño,10,"Urb. Bairoa Park, Parque del Condado Street, Caguas, Puerto Rico, 00727",18.26086,-66.04362,MCAG079 - Bairoa Park Recreational Facilities,PA-02-PR-4339-PW-08303,800648,720583,0,80065,Caguas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,27/04/2021,Proyecto 406
12048,107107.0,Bo. Tomás de Castro I Sector Buenos Aires PR-788 Interior Buenos Aires Municipal Road - Site #6,Diseño,10,"Bo. Tomás de Castro I, Sector Buenos Aires, PR-788 Int., Caguas, Puerto Rico, 00725",18.16571,-66.02611,MCAG146 - Bo. Buenos Aires Roads Group 2,PA-02-PR-4339-PW-08336,861410,775269,193817,86141,Caguas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,25/02/2021,Proyecto 406
12050,107107.0,Bo. Cañabón Sector Pozo Dulce PR-156 Int. Site #2,Diseño,10,"Bo. Cañabón, Sector Pozo Dulce, PR-156 Int., Caguas, Puerto Rico, 00727",18.23157,-66.07576,MCAG135 - Pozo Dulce & La Union Roads,PA-02-PR-4339-PW-08436,237716,213944,53486,23772,Caguas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,12/03/2021,Proyecto 406
12052,107107.0,MCAG078 - Bo. Borinquen Atravesada Sector Camino de la Iglesia PR-763 KM 4.4 Interior – Site #3,Diseño,15,"Bo. Borinquen Atravesada, Sec Camino Iglesia, PR-763 KM 4.4, Caguas, Puerto Rico, 00727",18.1532,-66.05894,Road-Asphalt Repair-PR-763 KM 4.4 Int. Bo. Borinquen Atravesada(Cidra),PA-02-PR-4339-PW-08489,2197877,1978089,494522,219788,Caguas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,15/06/2021,Proyecto 406
12054,107107.0,MCAG082 - Bo. Borinquen Atravesada Sector Sara F. PR-763 KM 7.0 Interior - Site #16,Diseño,15,"Bo. Borinquen Atravesada, Sect. Sara F. PR-763 KM 7.0 Int., Caguas, Puerto Rico, 00727",18.14434,-66.06933,Road-Asphalt Repair-PR-763 KM 4.4 Int. Bo. Borinquen Atravesada(Cidra),PA-02-PR-4339-PW-08489,2197877,1978089,494522,219788,Caguas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,15/06/2021,Proyecto 406
12056,107107.0,MCAG062 - Bo. San Salvador Sector Anón PR-765 Interior Site #16,Diseño,50,"Bo. San Salvador, Sector Anón, PR-765 Interior, Caguas, Puerto Rico, 00725",18.1476,-66.02969,MCAG017 - Anón Sector Roads,PA-02-PR-4339-PW-08786,2786610,2507949,626987,278661,Caguas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,18/08/2021,Proyecto 406
12058,107107.0,MCAG673 - Bo. Borinquen Sector Alturas de Borinquen/Padre Miguel PR-761 Interior - Sites #13A #13B #13C and #13D,Diseño,5,"Bo Borinquen Sec Alturas Borinquen/Padre Miguel, PR-761 Int., Caguas, Puerto Rico, 00727",18.1861,-66.03756,MCAG073 - PR-761 Bo. Borinquen Roads,PA-02-PR-4339-PW-09136,1769960,1592964,398241,176996,Caguas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,17/09/2021,Proyecto 406
12060,107107.0,Public Road Lighting (Alumbrado Público) - Acosta Goyco and Padial St.,Diseño,0,"Bo. Pueblo, Acosta/Goyco/Padial St., Caguas, Puerto Rico, 00725",18.2363,-66.03456,MCAG177 - Public Road Lighting (Alumbrado Público) - Phase 3 ,PA-02-PR-4339-PW-09325,1660478,1494430,373608,166048,Caguas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,17/09/2021,Proyecto 406
12062,107107.0,Public Road Lighting (Alumbrado Público) - Ave. Rafael Cordero (A),Diseño,0,"Bo. Pueblo, PR-768/Rafael Cordero Avenue, Dr. Rufo St., Caguas, Puerto Rico, 00725",18.23475,-66.03163,MCAG177 - Public Road Lighting (Alumbrado Público) - Phase 3 ,PA-02-PR-4339-PW-09325,1660478,1494430,373608,166048,Caguas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,17/09/2021,Proyecto 406
12064,107107.0,Camera Security System Muicipal Police,Completado,,,18.46301,-66.86694,MCAM019-CAMERA SECURITY SYSTEM,PA-02-PR-4339-PW-03214,85538,76984,76984,8554,Camuy,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,10/02/2020,Proyecto 406
12066,107107.0,Sector Vega Basketball Court and Gym Complex,Construcción,N/A,,18.387686,-66.817955,MCAM031-SANTIAGO WARD GYM/BASKETBALL COURT  AND COMMUNITY CENTER,PA-02-PR-4339-PW-05612,15608,14047,14047,1561,Camuy,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,30/06/2020,Proyecto 406
12068,107107.0,Las Magas Saturnina Nieves Road,Completado,,,18.31912,-65.87258,MCAN017- Palma Sola Roads,PA-02-PR-4339-PW-03236,643598,579238,0,64360,Canóvanas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,22/12/2020,Proyecto 428
12070,107107.0,Campo Rico Outdoor Gym Handball Court & Running Track,Diseño,90,,18.3392,-65.8891,MCAN006- Campo Rico Community Facilities,PA-02-PR-4339-PW-03406,573786,516407,82371,57379,Canóvanas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,27/04/2020,Proyecto 428
12072,107107.0,Calle Laurel Condesa II,Adquisición de construcción,,,18.269277,-65.879431,[A&E] MCAN039- Bo. Cubuy,PA-02-PR-4339-PW-04388,122238,110014,110014,12224,Canóvanas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,02/12/2020,Proyecto 406
12074,107107.0,PR-185 km 9.6 Landslide and asphalt washed out- Camino Los Orosco,Construcción,N/A,"PR 185 Km 9.6, Canovanas, Puerto Rico",18.36118,-65.90116,MCAN068 PR 185 km 9.6,PA-02-PR-4339-PW-05280,118929,107036,107036,11893,Canóvanas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,08/09/2020,Proyecto 428
12076,107107.0,Biblioteca Municipal La Central,Construcción,N/A,,18.3959,-65.9167,MCAN034- Municipal Libraries,PA-02-PR-4339-PW-05665,64513,58062,58062,6451,Canóvanas,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,06/08/2020,Proyecto 428
12078,107107.0,Cancha de Baloncesto & Area Recreativa Urbanizacion Estancias del Rio,Construcción,40,,18.375393,-65.890512,MCAN014 Basketball Court Estancias del Rio ,PA-02-PR-4339-PW-05855,731877,658689,42660,73188,Canóvanas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,24/06/2020,Proyecto 428
12080,107107.0,Los Rivera Sector las 400,Construcción,N/A,,18.27271,-65.89991,MCAN052 Roads Small Project 01,PA-02-PR-4339-PW-06287,88397,79557,79557,8840,Canóvanas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,08/09/2020,Proyecto 428
12082,107107.0,2A STREET BO. SAN ISIDRO,Construcción,N/A,,18.39788,-65.88445,MCAN052 Roads Small Project 01,PA-02-PR-4339-PW-06287,88397,79557,79557,8840,Canóvanas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,08/09/2020,Proyecto 428
12084,107107.0,Housing State River Garden Flor de Diego Street (M-31),Construcción,N/A,,18.36804,-65.89285,MCAN052 Roads Small Project 01,PA-02-PR-4339-PW-06287,88397,79557,79557,8840,Canóvanas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,08/09/2020,Proyecto 428
12086,107107.0,Cancha Baloncesto Bo La Central Sector Sierra Maestra 1/2 Cancha,Construcción,60,,18.398284,-65.916693,MCAN010 La Central Community Facilities,PA-02-PR-4339-PW-06318,778993,701094,175274,77899,Canóvanas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/01/2022,Proyecto 428
12088,107107.0,Parque pasivo Puente Villarán PR-9959 Int. PR-3,Construcción,N/A,,18.379018,-65.891725,MCAN028- Villaran Townsquare Indian Plaza Town,PA-02-PR-4339-PW-06517,54609,49148,49148,5461,Canóvanas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,02/05/2022,Proyecto 428
12090,107107.0,Parque Pasivo Puente Villaran- Restrooms,Construcción,N/A,,18.37902,-65.89172,MCAN028- Villaran Townsquare Indian Plaza Town,PA-02-PR-4339-PW-06517,54609,49148,49148,5461,Canóvanas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,02/05/2022,Proyecto 428
12092,107107.0,Bo Quebrada Prieta Main Road,Completado,,,18.305269,-65.909348,MCAN031 Quebrada Prieta Roads,PA-02-PR-4339-PW-06589,196379,176741,176741,19638,Canóvanas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,18/09/2020,Proyecto 428
12094,107107.0,Bo Quebrada Prieta Main Road,Completado,,,18.300458,-65.909695,MCAN031 Quebrada Prieta Roads,PA-02-PR-4339-PW-06589,196379,176741,176741,19638,Canóvanas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,18/09/2020,Proyecto 428
12096,107107.0,Bo Quebrada Prieta Main Road,Completado,,,18.299079,-65.906035,MCAN031 Quebrada Prieta Roads,PA-02-PR-4339-PW-06589,196379,176741,176741,19638,Canóvanas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,18/09/2020,Proyecto 428
12098,107107.0,Cancha Baloncesto Sector las Yayas,Construcción,90,,18.29426,-65.86931,Basketball Court   PR- 954 KM 2.0 Bo Canovanillas (Canóvanas),PA-02-PR-4339-PW-06633,1486385,1337747,0,148638,Canóvanas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,25/05/2022,Proyecto 428
12100,107107.0,Cancha Sector Puente Moreno Campo Rico,Construcción,95,,18.328187,-65.8883,Basketball Court   PR- 954 KM 2.0 Bo Canovanillas (Canóvanas),PA-02-PR-4339-PW-06633,1486385,1337747,0,148638,Canóvanas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,25/05/2022,Proyecto 428
12102,107107.0,Camino Los Navarros Bridge,Construcción,N/A,,18.33803,-65.88814,MCAN054 Roads Los Navarros Small Project,PA-02-PR-4339-PW-06948,28982,26084,26084,2898,Canóvanas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,16/11/2020,Proyecto 428
12104,107107.0,Sector Sanyet Bo. Cubuy,Construcción,N/A,,18.28039,-65.87142,[A&E] MCAN043 Sector Sanyet,PA-02-PR-4339-PW-07368,12334,11101,11101,1233,Canóvanas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,16/11/2020,Proyecto 406
12106,107107.0,Villa Fontana Parques Softball(Sofball Parks),Diseño,100,,18.399596,-65.970497,MCAR298 Villa Fontana Recreational Facilities,PA-02-PR-4339-PW-03501,252702,227432,0,25270,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,23/06/2020,Proyecto 406
12108,107107.0,Estacion Quinta Villa Carolina - Policia Municipal(Villa Carolina 5th Sec. Municipal Police),Construcción,N/A,,18.415151,-65.95962,MCAR116 Estacion Quinta Villa Carolina - Policia Municipal(Villa Carolina 5th Sec. Municipal Police),PA-02-PR-4339-PW-04279,20566,18509,18509,2057,Carolina,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,11/06/2020,Proyecto 428
12110,107107.0,Rolling Hills Bo. Martín González Cancha Baloncesto (Basketball Court),Construcción,85,,18.382379,-65.980918,MCAR130 Rolling Hills Recreational Facilities,PA-02-PR-4339-PW-04327,233983,210585,0,23398,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,16/06/2020,Proyecto 406
12112,107107.0,Cementerio Municipal Carolina Pueblo Storage,Construcción,N/A,,18.3839,-65.9595,MCAR163 Carolina Downtown Cementery ,PA-02-PR-4339-PW-04331,23882,21494,21494,2388,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,14/05/2020,Proyecto 428
12114,107107.0,Vistamar Consessionary and Bathroom,Adquisición de construcción,,,18.429548,-65.983104,MCAR214 Vistamar Recreational Facilities,PA-02-PR-4339-PW-04902,278149,250334,0,27815,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,23/06/2020,Proyecto 406
12116,107107.0,Bo. Canovanillas Carr.# 857Cancha Bajo Techo y Parque (Cover Basketball Court and Baseball Park),Construcción,75,,18.339693,-65.919899,Canovanillas Recreational Facilities Martín González (Carolina),PA-02-PR-4339-PW-05048,1226859,1104173,0,122686,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,10/07/2020,Proyecto 406
12118,107107.0,Urb. Parque Ecuestre Bo. Canovanillas Softball Park,Diseño,100,,18.368296,-65.927179,Canovanillas Recreational Facilities Martín González (Carolina),PA-02-PR-4339-PW-05048,1226859,1104173,0,122686,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,10/07/2020,Proyecto 406
12120,107107.0,a. Coliseum Facilitys Guillermo Ángulo,Construcción,65,"Carolina, Puerto Rico",18.387449,-65.957709,"Administrative Office of Roberto Clemente Complex, Recreational Facility Building(Carolina)",PA-02-PR-4339-PW-05148,10516898,9465208,988618,1051690,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,25/09/2020,Proyecto 428
12122,107107.0,Cancha Volleyball Abierta con Cover Mountain View(Mointain View Open Voyleball Court with Cover),Diseño,100,,18.368423,-65.94212,MCAR216 Mountain View Recreational Facilities,PA-02-PR-4339-PW-05513,196944,177250,0,19694,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,24/06/2020,Proyecto 406
12124,107107.0,Mansiones de Moutain View (Cover Volley Ball Court),Diseño,100,,18.368423,-65.942124,MCAR216 Mountain View Recreational Facilities,PA-02-PR-4339-PW-05513,196944,177250,0,19694,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,24/06/2020,Proyecto 406
12126,107107.0,Villa Carolina 5ta Section Recreational Area,Diseño,100,,18.415856,-65.959362,MCAR217 Villa Carolina 5th Section Recreational Facilities,PA-02-PR-4339-PW-07699,370948,333853,0,37095,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,16/02/2021,Proyecto 406
12128,107107.0,Los Fernandez Bridge Bo Barrazas PR 853 Km. 5.5,Diseño,90,,18.3294,-65.9553,Road-Asphalt Repair - and Culvert repairs- Barrazas (Carolina),PA-02-PR-4339-PW-07778,3289573,2960616,740154,328957,Carolina,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,14/04/2021,Proyecto 406
12130,107107.0,Sect Los Nieves Road Bo Canovanillas PR 859 Km 3.0,Diseño,100,,18.29403,-65.92157,MCAR029 Canovanillas Roads & Culverts,PA-02-PR-4339-PW-07803,217650,195885,0,21765,Carolina,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,09/02/2021,Proyecto 406
12132,107107.0,Estadio Roberto Clemente Walker(Roberto Clemente Walker Stadium),Completado,,,18.37681,-65.949024,Professional Stadium Baseball Park Roberto Clemente- (Carolina),PA-02-PR-4339-PW-07884,20422976,18380678,4488102,2042298,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,05/03/2021,Proyecto 428
12134,107107.0,Servicios Especiales - Policia Municipal(Special Services-Municipal Police),Construcción,50,,18.399209,-65.966097,MCAR113 Carolina Municipal Police Facilities,PA-02-PR-4339-PW-08216,681323,613191,0,68132,Carolina,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,22/03/2021,Proyecto 428
12136,107107.0,Oficina de Seguridad Virtual(Virtual Security Office),Construcción,75,"calle Fernandez Juncos, Carolina, Puerto Rico, 00986",18.382396,-65.955773,MCAR166 San Fernando Hospital & Water Storm Utilities,PA-02-PR-4339-PW-09221,1442501,1298251,951885,144250,Carolina,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,17/09/2021,Proyecto 428
12138,107107.0,Los Figueroa Bridge Bo Cacao PR 853 Km. 5.6,Diseño,90,,18.33359,-65.95731,MCAR610 Los Figueroa Bridge Bo Cacao PR 853 Km. 5.6,PA-02-PR-4339-PW-09551,273664,246298,0,27366,Carolina,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,10/11/2021,Proyecto 406
12140,107107.0,Coliseo Cosme Beitia Salamo (Cosme Beitia Salamo Coliseum),Diseño,20,"Rio Lajas Ward, Dorado, Puerto Rico, 00646",18.440727,-66.125798,Coliseum Cosme Beitia Salamo Recreational Facility Building Street Hernandez (Cataño),PA-02-PR-4339-PW-01492,4497310,4047579,1011895,449731,Cataño,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,31/03/2022,Proyecto 428
12142,107107.0,Cancha de Baloncesto Bajo Techo Andrades (Basketball Court Andrades),Completado,,"Rio Lajas Ward, Dorado, Puerto Rico, 00646",18.435089,-66.122793,MCAT020 Cancha de Baloncesto Andrades,PA-02-PR-4339-PW-01669,5247,4722,4722,525,Cataño,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,05/06/2020,Proyecto 428
12144,107107.0,DR4339PR - MCAT008 - Centro de Diagnostico Job Andujar (Job Andujar Diagnostic Center),Adquisición de diseño,,"Rio Lajas Ward, Dorado, Puerto Rico, 00646",18.42813,-66.1385,CDT-Andujar Cataño Medical Facilites(Cataño),PA-02-PR-4339-PW-01699,4926772,4434095,1108524,492677,Cataño,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,24/03/2022,Proyecto 428
12146,107107.0,Parque de Pelota Proyecto 141 (Baseball Park 141 Project),Completado,,,18.434444,-66.143539,MCAT038 Baseball Park & Basketball Court Proyecto 141,PA-02-PR-4339-PW-05675,156891,141202,12403,15689,Cataño,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,11/03/2022,Proyecto 428
12148,107107.0,Biblioteca Municipal (Municipal Library),Adquisición de diseño,,,18.442767,-66.127696,MCAT024 Group 1B Goverment Buildings,PA-02-PR-4339-PW-07664,1248554,1123699,0,124855,Cataño,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,16/06/2022,Proyecto 428
12150,107107.0,Centro de Gobierno Hector L Santiago (Government Center Hector L. Santiago) Contents,Adquisición de diseño,,,18.439345,-66.127131,MCAT024 Group 1B Goverment Buildings,PA-02-PR-4339-PW-07664,1248554,1123699,0,124855,Cataño,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,16/06/2022,Proyecto 428
12152,107107.0,Correo Secundario Puente Blanco (Puente Blanco Secondary Post Office),Adquisición de diseño,,,18.427771,-66.134497,MCAT024 Group 1B Goverment Buildings,PA-02-PR-4339-PW-07664,1248554,1123699,0,124855,Cataño,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,16/06/2022,Proyecto 428
12154,107107.0,Centro de Gobierno Hector L Santiago (Government Center Hector L. Santiago),Adquisición de diseño,,,18.439345,-66.127131,MCAT024 Group 1B Goverment Buildings,PA-02-PR-4339-PW-07664,1248554,1123699,0,124855,Cataño,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,16/06/2022,Proyecto 428
12156,107107.0,Obras Publicas Municipales (Municipal Public Works),Adquisición de diseño,,,18.430162,-66.149508,MCAT026 Group 2B Municipal Offices,PA-02-PR-4339-PW-08203,675501,607951,87078,67550,Cataño,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,16/03/2022,Proyecto 428
12158,107107.0,Centro Comunal Juana Matos (Community Center Juana Matos),Adquisición de diseño,,,18.434443,-66.13297,MCAT026 Group 2B Municipal Offices,PA-02-PR-4339-PW-08203,675501,607951,87078,67550,Cataño,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,16/03/2022,Proyecto 428
12160,107107.0,Cancha de Tenis Ramada Enramada (Tennis Court Ramada House Complex),Adquisición de diseño,,,18.430181,-66.161415,MCAT040 Group 2C Tennis y Canchas,PA-02-PR-4339-PW-08452,196923,177231,9102,19692,Cataño,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,11/03/2022,Proyecto 428
12162,107107.0,Cancha de Baloncesto Bajo Techo Urbanizacion El Coqui II (Basketball Court  El Coqui II Complex),Adquisición de diseño,,,18.439346,-66.129307,MCAT041 Group 3C - Canchas y Parque de Pelotas,PA-02-PR-4339-PW-09235,2831086,2547977,636994,283109,Cataño,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,24/03/2022,Proyecto 428
12164,107107.0,Cancha Bajo Techo Colindancia Bo Pueblo (Basketball Court Colindancia Pueblo),Adquisición de diseño,,,18.438289,-66.118342,MCAT041 Group 3C - Canchas y Parque de Pelotas,PA-02-PR-4339-PW-09235,2831086,2547977,636994,283109,Cataño,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,24/03/2022,Proyecto 428
12166,107107.0,Cancha de Baloncesto y Volleyball Urbanizacion Villa Aurora (Basketball and Volleyball Court Villa Aurora House Complex),Adquisición de diseño,,,18.433574,-66.155427,MCAT041 Group 3C - Canchas y Parque de Pelotas,PA-02-PR-4339-PW-09235,2831086,2547977,636994,283109,Cataño,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,24/03/2022,Proyecto 428
12168,107107.0,Cancha de Baloncesto y Volleyball Urbanizacion Villa Aurora - Park Structures,Adquisición de diseño,,,18.43357,-66.15543,MCAT041 Group 3C - Canchas y Parque de Pelotas,PA-02-PR-4339-PW-09235,2831086,2547977,636994,283109,Cataño,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,24/03/2022,Proyecto 428
12170,107107.0,Villa Pesquera,Construcción,5,,18.441826,-66.125538,MCAT011 Frente Maritimo (Maritime Front),PA-02-PR-4339-PW-09745,829972,746975,0,82997,Cataño,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,28/03/2022,Proyecto 428
12172,107107.0,Centro de Servicios de Salud Mariano Rivera Ramos (Hospital Municipal),Construcción,95,,18.11043,-66.16872,Municipal Hospital of Cayey(Cayey),PA-02-PR-4339-PW-05427,3526453,3173808,698303,352645,Cayey,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,23/06/2020,Proyecto 428
12174,107107.0,Biblioteca - Library,Completado,,,18.15703,-66.09393,Library - Beatriz Ward,PA-02-PR-4339-PW-05571,39921,35929,35929,3992,Cayey,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,14/04/2021,Proyecto 406
12176,107107.0,Court and baseball park (Calle Esmeralda-Calle 9),Construcción,65,,18.13048,-66.1436,Improved Project - Court and Baseball Park - Street:  Esmeralda - Street # 9 - Sector: Urb. El Torito - Rincón Ward,PA-02-PR-4339-PW-05759,597592,537833,474522,59759,Cayey,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,11/08/2020,Proyecto 406
12178,107107.0,Cancha Urb. Praderas del Plata,Completado,,,18.138201,-66.149748,Court - Sector: Praderas del Plata - Montellano Ward ,PA-02-PR-4339-PW-07299,52600,47340,47340,5260,Cayey,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,01/09/2021,Proyecto 406
12180,107107.0,Pasto Viejo Calle Alemani,Construcción,N/A,,18.09302,-66.210679,MCAY026 Bo Pasto Viejo,PA-02-PR-4339-PW-07669,54877,49389,49389,5488,Cayey,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,17/05/2021,Proyecto 406
12182,107107.0,Calle San Pedrito,Completado,,,18.15785,-66.08992,Beatriz,PA-02-PR-4339-PW-10135,568328,511495,0,56833,Cayey,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,18/02/2022,Proyecto 406
12184,107107.0,Saco Basketball Court,Construcción,0,"Hwy-975, Ceiba, Puerto Rico, 00735",18.26139,-65.7008,Nito Cortijo Baseball Park Sport Complex (Ceiba),PA-02-PR-4339-PW-06703,4338166,3904349,230247,433817,Ceiba,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,09/10/2020,Proyecto 428
12186,107107.0,Felix Pedraza Sport Complex Bastekball Court Complejo Deportivo II Street,Adquisición de construcción,,"Complejo Deportivo II St., Pueblo Ward, Ceiba, Puerto Rico, 00735",18.264799,-65.644783,"Felix Pedraza Sport Complex Bastekball Court, Complejo Deportivo II (Ceiba)",PA-02-PR-4339-PW-07375,3021201,2719081,103116,302120,Ceiba,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,27/10/2021,Proyecto 428
12188,107107.0,Bairoa Street Basketball Court Urb. Prado Hermoso,Construcción,0,"Bairoa St. Urb. Prado Hermoso, Ceiba, Puerto Rico, 00735",18.23292,-65.66706,"Felix Pedraza Sport Complex Bastekball Court, Complejo Deportivo II (Ceiba)",PA-02-PR-4339-PW-07375,3021201,2719081,103116,302120,Ceiba,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,27/10/2021,Proyecto 428
12190,107107.0,Sector Comunidad Toro Negro Toro Negro Ward Bridge (Site 1),Adquisición de diseño,,,18.263094,-66.507736,A&E MCIA003 - Toro Negro Low Water Crossing (Site 1),PA-02-PR-4339-PW-02421,232422,209180,0,23242,Ciales,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,03/12/2019,Proyecto 406
12192,107107.0,Sector Vega Redonda Toro Negro Ward Bridge ( Site 1),Adquisición de diseño,,,18.16873,-66.51206,MCIA039 - Vega Redonda Sector Toro Negro Ward LWC/Road (Sites 1 & 2),PA-02-PR-4339-PW-02633,2207982,1987184,0,220798,Ciales,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,31/07/2020,Proyecto 406
12194,107107.0,Camino Ana Rosario Fronton Ward Road ( Site 2).,Adquisición de diseño,,,18.304702,-66.536325,A&E MCIA062 - Fronton Roads,PA-02-PR-4339-PW-04340,795141,715627,0,79514,Ciales,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,17/03/2022,Proyecto 406
